method,model,n_stations,device,n_gpus,n_cpus,K,runtime_s,metric,success_rate,path,p_f1,s_f1
native,EQT-NC,580,cpu,0,20,,8.7714114,inference_s,1.0,annotate_bf16/stead/580st/EQT-NC/cpu/cpus20/thr20/bs512/merged/xfer/result.json,0.9142857142857143,0.9638766519823789
native,EQT-NC,580,gpu,1,5,,1.0756816,inference_s,1.0,annotate_bf16/stead/580st/EQT-NC/gpu/cpus5/thr5/bs512/merged/xfer/result.json,0.915129151291513,0.9656387665198237
native,EQT-NC,580,gpu,1,10,,1.0404856,inference_s,1.0,annotate_bf16/stead/580st/EQT-NC/gpu/cpus10/thr10/bs512/merged/xfer/result.json,0.915129151291513,0.9656387665198237
native,EQT-NC,580,gpu,1,15,,1.0627482,inference_s,1.0,annotate_bf16/stead/580st/EQT-NC/gpu/cpus15/thr15/bs512/merged/xfer/result.json,0.915129151291513,0.9656387665198237
native,EQT-NC,580,gpu,1,20,,1.062915,inference_s,1.0,annotate_bf16/stead/580st/EQT-NC/gpu/cpus20/thr20/bs512/merged/xfer/result.json,0.915129151291513,0.9656387665198237
native,EQTransformer,250,cpu,0,5,,5.2812642,inference_s,1.0,annotate_bf16/stead/250st/EQTransformer/cpu/cpus5/thr5/bs512/merged/xfer/result.json,0.9063829787234042,0.9608247422680413
native,EQTransformer,250,cpu,0,10,,4.086784,inference_s,1.0,annotate_bf16/stead/250st/EQTransformer/cpu/cpus10/thr10/bs512/merged/xfer/result.json,0.9063829787234042,0.9608247422680413
native,EQTransformer,250,cpu,0,15,,3.9013858,inference_s,1.0,annotate_bf16/stead/250st/EQTransformer/cpu/cpus15/thr15/bs512/merged/xfer/result.json,0.9063829787234042,0.9608247422680413
native,EQTransformer,250,cpu,0,20,,3.7237942,inference_s,1.0,annotate_bf16/stead/250st/EQTransformer/cpu/cpus20/thr20/bs512/merged/xfer/result.json,0.9063829787234042,0.9608247422680413
native,EQTransformer,250,gpu,1,5,,0.5724976,inference_s,1.0,annotate_bf16/stead/250st/EQTransformer/gpu/cpus5/thr5/bs512/merged/xfer/result.json,0.9087048832271761,0.9608247422680413
native,EQTransformer,250,gpu,1,10,,0.5741028,inference_s,1.0,annotate_bf16/stead/250st/EQTransformer/gpu/cpus10/thr10/bs512/merged/xfer/result.json,0.9087048832271761,0.9608247422680413
native,EQTransformer,250,gpu,1,15,,0.6531248,inference_s,1.0,annotate_bf16/stead/250st/EQTransformer/gpu/cpus15/thr15/bs512/merged/xfer/result.json,0.9087048832271761,0.9608247422680413
native,EQTransformer,250,gpu,1,20,,0.6210220000000001,inference_s,1.0,annotate_bf16/stead/250st/EQTransformer/gpu/cpus20/thr20/bs512/merged/xfer/result.json,0.9087048832271761,0.9608247422680413
native,EQTransformer,580,cpu,0,5,,12.260553400000001,inference_s,1.0,annotate_bf16/stead/580st/EQTransformer/cpu/cpus5/thr5/bs512/merged/xfer/result.json,0.9142857142857143,0.9656387665198237
native,EQTransformer,580,cpu,0,10,,9.7973412,inference_s,1.0,annotate_bf16/stead/580st/EQTransformer/cpu/cpus10/thr10/bs512/merged/xfer/result.json,0.9142857142857143,0.9656387665198237
native,EQTransformer,580,cpu,0,15,,10.6493102,inference_s,1.0,annotate_bf16/stead/580st/EQTransformer/cpu/cpus15/thr15/bs512/merged/xfer/result.json,0.9142857142857143,0.9656387665198237
native,EQTransformer,580,cpu,0,20,,8.3842466,inference_s,1.0,annotate_bf16/stead/580st/EQTransformer/cpu/cpus20/thr20/bs512/merged/xfer/result.json,0.9142857142857143,0.9656387665198237
native,EQTransformer,580,gpu,1,5,,1.2535456,inference_s,1.0,annotate_bf16/stead/580st/EQTransformer/gpu/cpus5/thr5/bs512/merged/xfer/result.json,0.9152854511970534,0.9656387665198237
native,EQTransformer,580,gpu,1,10,,1.3513516,inference_s,1.0,annotate_bf16/stead/580st/EQTransformer/gpu/cpus10/thr10/bs512/merged/xfer/result.json,0.9152854511970534,0.9656387665198237
native,EQTransformer,580,gpu,1,15,,1.3313314,inference_s,1.0,annotate_bf16/stead/580st/EQTransformer/gpu/cpus15/thr15/bs512/merged/xfer/result.json,0.9152854511970534,0.9656387665198237
native,EQTransformer,580,gpu,1,20,,1.3120346,inference_s,1.0,annotate_bf16/stead/580st/EQTransformer/gpu/cpus20/thr20/bs512/merged/xfer/result.json,0.9152854511970534,0.9656387665198237
native,PhaseNet,250,cpu,0,5,,1.4444686,inference_s,1.0,annotate_bf16/stead/250st/PhaseNet/cpu/cpus5/thr5/bs512/merged/xfer/result.json,0.9641434262948207,0.9336016096579478
native,PhaseNet,250,cpu,0,10,,1.172997,inference_s,1.0,annotate_bf16/stead/250st/PhaseNet/cpu/cpus10/thr10/bs512/merged/xfer/result.json,0.9641434262948207,0.9336016096579478
native,PhaseNet,250,cpu,0,15,,1.0965066,inference_s,1.0,annotate_bf16/stead/250st/PhaseNet/cpu/cpus15/thr15/bs512/merged/xfer/result.json,0.9641434262948207,0.9336016096579478
native,PhaseNet,250,cpu,0,20,,0.9882184,inference_s,1.0,annotate_bf16/stead/250st/PhaseNet/cpu/cpus20/thr20/bs512/merged/xfer/result.json,0.9641434262948207,0.9336016096579478
native,PhaseNet,250,gpu,1,5,,0.338415,inference_s,1.0,annotate_bf16/stead/250st/PhaseNet/gpu/cpus5/thr5/bs512/merged/xfer/result.json,0.9620758483033932,0.9314516129032259
native,PhaseNet,250,gpu,1,10,,0.3424132,inference_s,1.0,annotate_bf16/stead/250st/PhaseNet/gpu/cpus10/thr10/bs512/merged/xfer/result.json,0.9620758483033932,0.9314516129032259
native,PhaseNet,250,gpu,1,15,,0.358011,inference_s,1.0,annotate_bf16/stead/250st/PhaseNet/gpu/cpus15/thr15/bs512/merged/xfer/result.json,0.9620758483033932,0.9314516129032259
native,PhaseNet,250,gpu,1,20,,0.3763372,inference_s,1.0,annotate_bf16/stead/250st/PhaseNet/gpu/cpus20/thr20/bs512/merged/xfer/result.json,0.9620758483033932,0.9314516129032259
native,PhaseNet,580,cpu,0,5,,3.433611,inference_s,1.0,annotate_bf16/stead/580st/PhaseNet/cpu/cpus5/thr5/bs512/merged/xfer/result.json,0.9742710120068611,0.9365351629502573
native,PhaseNet,580,cpu,0,10,,2.7605726,inference_s,1.0,annotate_bf16/stead/580st/PhaseNet/cpu/cpus10/thr10/bs512/merged/xfer/result.json,0.9742710120068611,0.9365351629502573
native,PhaseNet,580,cpu,0,15,,2.6170682,inference_s,1.0,annotate_bf16/stead/580st/PhaseNet/cpu/cpus15/thr15/bs512/merged/xfer/result.json,0.9742710120068611,0.9365351629502573
native,PhaseNet,580,cpu,0,20,,2.3804528,inference_s,1.0,annotate_bf16/stead/580st/PhaseNet/cpu/cpus20/thr20/bs512/merged/xfer/result.json,0.9742710120068611,0.9365351629502573
native,PhaseNet,580,gpu,1,5,,0.9191118,inference_s,1.0,annotate_bf16/stead/580st/PhaseNet/gpu/cpus5/thr5/bs512/merged/xfer/result.json,0.9733905579399142,0.9366438356164384
native,PhaseNet,580,gpu,1,10,,0.9167916,inference_s,1.0,annotate_bf16/stead/580st/PhaseNet/gpu/cpus10/thr10/bs512/merged/xfer/result.json,0.9733905579399142,0.9366438356164384
native,PhaseNet,580,gpu,1,15,,0.847298,inference_s,1.0,annotate_bf16/stead/580st/PhaseNet/gpu/cpus15/thr15/bs512/merged/xfer/result.json,0.9733905579399142,0.9366438356164384
native,PhaseNet,580,gpu,1,20,,0.9443622,inference_s,1.0,annotate_bf16/stead/580st/PhaseNet/gpu/cpus20/thr20/bs512/merged/xfer/result.json,0.9733905579399142,0.9366438356164384
native,PhaseNetLight,250,cpu,0,5,,0.5082026,inference_s,1.0,annotate_bf16/stead/250st/PhaseNetLight/cpu/cpus5/thr5/bs512/merged/xfer/result.json,0.9409448818897638,0.9437751004016064
native,PhaseNetLight,250,cpu,0,10,,0.436653,inference_s,1.0,annotate_bf16/stead/250st/PhaseNetLight/cpu/cpus10/thr10/bs512/merged/xfer/result.json,0.9409448818897638,0.9437751004016064
native,PhaseNetLight,250,cpu,0,15,,0.4198474,inference_s,1.0,annotate_bf16/stead/250st/PhaseNetLight/cpu/cpus15/thr15/bs512/merged/xfer/result.json,0.9409448818897638,0.9437751004016064
native,PhaseNetLight,250,cpu,0,20,,0.4187876,inference_s,1.0,annotate_bf16/stead/250st/PhaseNetLight/cpu/cpus20/thr20/bs512/merged/xfer/result.json,0.9409448818897638,0.9437751004016064
native,PhaseNetLight,250,gpu,1,5,,0.38277500000000003,inference_s,1.0,annotate_bf16/stead/250st/PhaseNetLight/gpu/cpus5/thr5/bs512/merged/xfer/result.json,0.9409448818897638,0.9437751004016064
native,PhaseNetLight,250,gpu,1,10,,0.33512200000000003,inference_s,1.0,annotate_bf16/stead/250st/PhaseNetLight/gpu/cpus10/thr10/bs512/merged/xfer/result.json,0.9409448818897638,0.9437751004016064
native,PhaseNetLight,250,gpu,1,15,,0.3372336,inference_s,1.0,annotate_bf16/stead/250st/PhaseNetLight/gpu/cpus15/thr15/bs512/merged/xfer/result.json,0.9409448818897638,0.9437751004016064
native,PhaseNetLight,250,gpu,1,20,,0.340287,inference_s,1.0,annotate_bf16/stead/250st/PhaseNetLight/gpu/cpus20/thr20/bs512/merged/xfer/result.json,0.9409448818897638,0.9437751004016064
native,PhaseNetLight,580,cpu,0,5,,1.3125546,inference_s,1.0,annotate_bf16/stead/580st/PhaseNetLight/cpu/cpus5/thr5/bs512/merged/xfer/result.json,0.958226768968457,0.9445407279029462
native,PhaseNetLight,580,cpu,0,10,,1.0445778,inference_s,1.0,annotate_bf16/stead/580st/PhaseNetLight/cpu/cpus10/thr10/bs512/merged/xfer/result.json,0.958226768968457,0.9445407279029462
native,PhaseNetLight,580,cpu,0,15,,1.1266756,inference_s,1.0,annotate_bf16/stead/580st/PhaseNetLight/cpu/cpus15/thr15/bs512/merged/xfer/result.json,0.958226768968457,0.9445407279029462
native,PhaseNetLight,580,cpu,0,20,,1.0315426,inference_s,1.0,annotate_bf16/stead/580st/PhaseNetLight/cpu/cpus20/thr20/bs512/merged/xfer/result.json,0.958226768968457,0.9445407279029462
native,PhaseNetLight,580,gpu,1,5,,0.8143358,inference_s,1.0,annotate_bf16/stead/580st/PhaseNetLight/gpu/cpus5/thr5/bs512/merged/xfer/result.json,0.959114139693356,0.9436253252385083
native,PhaseNetLight,580,gpu,1,10,,0.8155356,inference_s,1.0,annotate_bf16/stead/580st/PhaseNetLight/gpu/cpus10/thr10/bs512/merged/xfer/result.json,0.959114139693356,0.9436253252385083
native,PhaseNetLight,580,gpu,1,15,,0.8115216000000001,inference_s,1.0,annotate_bf16/stead/580st/PhaseNetLight/gpu/cpus15/thr15/bs512/merged/xfer/result.json,0.959114139693356,0.9436253252385083
native,PhaseNetLight,580,gpu,1,20,,0.8257056,inference_s,1.0,annotate_bf16/stead/580st/PhaseNetLight/gpu/cpus20/thr20/bs512/merged/xfer/result.json,0.959114139693356,0.9436253252385083
